User Group, Location, Time, Duration 
u20 u31,in[sudikoff],10,10
u03 u20 u23,in[north-park],955,20
u03 u20,in[north-park],265,10
u03 u20,in[north-park],80,10
u03 u20,in[north-park],95,10
u03 u20,in[north-park],110,15
u03 u20,in[north-park],140,15
u03 u20,in[north-park],165,10
u03 u20,in[north-park],280,15
u03 u20,in[north-park],300,25
u03 u20,in[north-park],345,50
u03 u20,in[north-park],400,20
u03 u20,in[north-park],425,85
u03 u20,in[north-park],515,75
u03 u20,in[north-park],605,15
u03 u20,in[north-park],625,20
u03 u20,in[north-park],660,15
u03 u20,in[north-park],695,30
u03 u20,in[north-park],730,65
u03 u20,in[north-park],800,15
u03 u20,in[north-park],820,10
u03 u20,in[north-park],835,40
u03 u20,in[north-park],880,75
u03 u20,in[north-park],975,30
u03 u20,in[north-park],1020,15
u03 u20,in[north-park],1040,25
u03 u20,in[north-park],1080,20
u03 u20,in[north-park],1131,15
u03 u20,in[north-park],1176,40
u03 u20,in[north-park],1221,15
u03 u20,in[north-park],1266,10
u03 u20,in[north-park],1296,15
