User Group, Location, Time, Duration 
u00 u13 u36 u49,in[sudikoff],275,20
u00 u13,in[sudikoff],1294,25
u00 u13,in[sudikoff],1324,10
u00 u13,in[sudikoff],1384,10
u13 u46,in[sudikoff],1409,10
u13 u36 u49,in[sudikoff],0,20
u13 u36 u49,in[sudikoff],65,10
u13 u36 u49,in[sudikoff],80,15
u13 u36 u49,in[sudikoff],417,10
u13 u57,in[steele],100,10
u13 u57,in[sudikoff],597,15
u13 u49,in[sudikoff],25,15
u13 u36 u57,in[sudikoff],542,35
u13 u36,in[steele],120,15
u13 u36,in[sudikoff],427,105
u13 u36,in[sudikoff],577,20
u13 u36,in[sudikoff],652,45
u13 u36,in[sudikoff],702,10
u13 u36,in[sudikoff],717,15
u13 u36,in[sudikoff],742,30
u13 u36,in[sudikoff],777,35
u13 u36,in[sudikoff],1194,20
u13 u36,in[sudikoff],1219,50
u13 u36,in[sudikoff],1339,10
