User Group, Location, Time, Duration 
u02 u13 u36 u49 u57,in[sudikoff],310,10
u02 u13 u36 u49 u57,in[sudikoff],490,10
u02 u13 u36 u49 u57,in[sudikoff],600,15
u02 u57,in[53_commons],285,15
u13 u36 u57,in[sudikoff],1166,10
u13 u36 u57,in[sudikoff],1181,20
u13 u36 u57,in[sudikoff],1226,20
u13 u36 u49 u57,in[sudikoff],205,10
u13 u36 u49 u57,in[sudikoff],220,20
u13 u36 u49 u57,in[sudikoff],590,10
u13 u36 u49 u57,in[sudikoff],640,15
u13 u36 u49 u57,in[sudikoff],670,10
u05 u13 u36 u57,in[sudikoff],1261,15
u36 u49 u57,in[sudikoff],710,15
u36 u49 u57,in[sudikoff],755,10
u49 u57,in[sudikoff],820,10
