User Group, Location, Time, Duration 
u02 u13 u36 u49,in[sudikoff],330,10
u02 u13 u36 u49,in[sudikoff],515,10
u02 u13 u36 u49 u57,in[sudikoff],310,10
u02 u13 u36 u49 u57,in[sudikoff],490,10
u02 u13 u36 u49 u57,in[sudikoff],600,15
u13 u36 u41,in[sudikoff],370,10
u13 u36 u49,in[sudikoff],285,25
u13 u36 u49,in[sudikoff],655,15
u13 u36 u57,in[sudikoff],1166,10
u13 u36 u57,in[sudikoff],1181,20
u13 u36 u57,in[sudikoff],1226,20
u13 u36 u49 u57,in[sudikoff],205,10
u13 u36 u49 u57,in[sudikoff],220,20
u13 u36 u49 u57,in[sudikoff],590,10
u13 u36 u49 u57,in[sudikoff],640,15
u13 u36 u49 u57,in[sudikoff],670,10
u13 u36,in[sudikoff],1366,15
u13 u36,in[sudikoff],1386,25
u05 u13 u36 u57,in[sudikoff],1261,15
u36 u49 u57,in[sudikoff],710,15
u36 u49 u57,in[sudikoff],755,10
u36 u49,in[sudikoff],265,10
u36 u49,in[sudikoff],695,10
u36 u49,in[sudikoff],730,15
