User Group, Location, Time, Duration 
u02 u13 u36 u49,in[sudikoff],330,10
u02 u13 u36 u49,in[sudikoff],515,10
u02 u13 u36 u49 u57,in[sudikoff],310,10
u02 u13 u36 u49 u57,in[sudikoff],490,10
u02 u13 u36 u49 u57,in[sudikoff],600,15
u13 u36 u49,in[sudikoff],285,25
u13 u36 u49,in[sudikoff],655,15
u13 u36 u49 u57,in[sudikoff],205,10
u13 u36 u49 u57,in[sudikoff],220,20
u13 u36 u49 u57,in[sudikoff],590,10
u13 u36 u49 u57,in[sudikoff],640,15
u13 u36 u49 u57,in[sudikoff],670,10
u36 u49 u57,in[little_hall],710,15
u36 u49 u57,in[little_hall],755,10
u36 u49,in[sudikoff],265,10
u36 u49,in[little_hall],695,10
u36 u49,in[little_hall],730,15
u08 u49,in[baker-berry],150,10
u49 u59,in[hopkins],1196,10
u49 u57,in[little_hall],820,10
