User Group, Location, Time, Duration 
u09 u52 u57,in[north-main],452,10
u09 u57,in[north-main],492,10
u09 u57,in[north-main],528,30
u09 u57,in[north-main],833,180
u09 u57,in[north-main],1175,10
u09 u57,in[north-main],1190,35
u09 u52,in[north-main],563,10
u09 u52,in[north-main],588,10
u09 u52,in[north-main],628,25
u09 u52,in[north-main],663,10
u09 u52,in[north-main],683,45
u09 u52,in[north-main],733,25
u09 u52,in[north-main],763,55
u09 u52 u57,in[north-main],396,10
u09 u52 u57,in[north-main],608,20
u09 u52 u57,in[north-main],818,15
