User Group, Location, Time, Duration 
u52 u57,in[north-main],30,25
u52 u57,in[north-main],80,10
u52 u57,in[north-main],115,15
u52 u57,in[north-main],326,35
u09 u52 u57,in[north-main],452,10
u09 u52,in[north-main],563,10
u09 u52,in[north-main],588,10
u09 u52,in[north-main],628,25
u09 u52,in[north-main],663,10
u09 u52,in[north-main],683,45
u09 u52,in[north-main],733,25
u09 u52,in[north-main],763,55
u09 u52 u57,in[north-main],396,10
u09 u52 u57,in[north-main],608,20
u09 u52 u57,in[north-main],818,15
