User Group, Location, Time, Duration 
u13 u36 u57,in[sudikoff],200,10
u13 u36 u57,in[sudikoff],445,10
u13 u36 u57,in[sudikoff],545,15
u13 u36 u57,in[sudikoff],1168,10
u13 u36 u57,in[sudikoff],1188,50
u13 u36 u57,in[sudikoff],1253,15
u13 u36,in[sudikoff],0,10
u13 u36,in[sudikoff],20,20
u13 u36,in[sudikoff],55,10
u13 u36,in[sudikoff],70,20
u13 u36,in[sudikoff],210,60
u13 u36,in[sudikoff],275,10
u13 u36,in[sudikoff],290,10
u13 u36,in[sudikoff],325,10
u13 u36,in[sudikoff],380,15
u13 u36,in[sudikoff],400,15
u13 u36,in[sudikoff],420,25
u13 u36,in[sudikoff],460,35
u13 u36,in[sudikoff],530,15
