User Group, Location, Time, Duration 
u13 u25 u36 u57,in[sudikoff],255,35
u13 u25 u36 u57,in[sudikoff],315,10
u13 u25 u36 u57,in[sudikoff],345,10
u13 u25 u36 u57,in[sudikoff],410,10
u13 u57,in[sudikoff],20,15
u13 u57,in[sudikoff],55,10
u13 u27 u36 u57,in[sudikoff],0,10
u13 u25 u36 u52 u57,in[sudikoff],150,10
u14 u25 u27 u57,in[sudikoff],730,15
u05 u57,in[sudikoff],505,10
u05 u57,in[sudikoff],545,15
u05 u57,in[sudikoff],580,10
u05 u57,in[sudikoff],560,10
u05 u57,in[sudikoff],590,10
u05 u25 u57,in[sudikoff],455,10
u25 u57,in[sudikoff],525,10
u05 u13 u25 u36 u57,in[sudikoff],390,15
u05 u13 u25 u36 u57,in[sudikoff],430,25
u05 u25 u27 u57,in[sudikoff],650,10
u18 u57,in[sudikoff],975,10
u18 u57,in[north-main],1366,25
u18 u57,in[north-main],1396,10
u18 u57,in[north-main],1411,10
