User Group, Location, Time, Duration 
u13 u18 u36 u57,in[north-main],940,10
u18 u57,in[north-main],20,15
u18 u57,in[north-main],115,10
u18 u57,in[north-main],165,10
u18 u57,in[north-main],660,15
u18 u57,in[north-main],700,10
u18 u57,in[north-main],720,10
u18 u57,in[north-main],745,45
u18 u57,in[north-main],800,20
u18 u57,in[north-main],830,25
u18 u57,in[north-main],870,10
u18 u57,in[north-main],885,15
u18 u57,in[north-main],905,35
u18 u57,in[north-main],950,60
u18 u57,in[north-main],1020,15
u18 u57,in[north-main],1041,20
u18 u57,in[north-main],1078,10
u18 u57,in[north-main],1107,15
u18 u57,in[north-main],1132,40
u18 u52,in[north-main],375,10
u18 u52,in[north-main],395,10
u18 u52,in[north-main],455,45
u18 u52,in[north-main],590,10
u18 u52,in[north-main],620,25
