User Group, Location, Time, Duration 
u09 u52 u57,in[north-main],20,35
u09 u52 u57,in[north-main],70,10
u09 u57,in[north-main],0,10
u09 u57,in[north-main],420,20
u09 u57,in[north-main],445,15
u09 u57,in[north-main],495,10
u09 u57,in[north-main],510,10
u09 u57,in[north-main],570,20
u09 u57,in[north-main],620,25
u09 u57,in[north-main],650,55
u09 u57,in[north-main],710,15
u09 u57,in[north-main],730,405
u09 u57,in[north-main],385,35
u09 u57,in[north-main],535,15
u09 u57,in[north-main],605,15
